TS1	TS2	TS3	TS4	TS5
-2.661500525	0.894445839	0.138070199	-3.30073113	-6.82260
-2.479065727	0.300261148	-0.247078102	-3.32211152	-6.11823
-2.35772709	-0.565245529	-0.750628173	-3.03761895	-5.23945
-2.365529882	0.531586445	0.303639997	-3.3465832	-4.76952
-0.945907903	-1.378584101	0.169598402	-3.7337748	-4.23180
-0.069661155	-3.167787761	1.398200457	-2.16289193	-3.74056
0.434175243	0.986252573	2.328495883	-0.60774575	-3.15549
-0.643399953	0.802146279	1.600300732	-0.59616648	-2.83659
-0.911070868	-1.379353686	1.890996133	-1.02754443	-2.21338
-1.898196628	-0.234735385	-1.143928206	-1.20132652	-2.48387
1.098297902	1.485946453	1.343630646	-1.42479318	-4.33841
0.262076588	0.640219643	-0.294917557	-1.12344873	-6.35819
-0.39301282	-0.139408659	-0.884737165	1.09294402	-6.73924
0.190122207	1.240638498	-0.373760267	1.47741754	-6.57569
1.102534722	-0.178417144	0.091615171	0.17260448	-6.58437
-0.363271852	-0.674828983	0.644387194	-0.45084735	-9.77687
0.193791639	2.424860059	0.345325142	0.58998875	-10.02865
0.03249088	3.859677708	-0.351705159	0.58641009	-9.69479
0.142196428	-1.197614508	1.953807149	-2.79219	-8.79227
-0.138805753	-4.202409989	-0.678090724	-3.59804197	-10.14447
-1.643515416	-0.349107454	-0.20595723	-2.60347628	-9.18049
-1.745882625	4.005485669	-0.607193502	-2.20079631	-9.39170
-1.637524269	-0.827780126	0.594184985	-1.67153967	-8.22573
-0.724252196	-3.268048581	0.460137921	-3.25510203	-7.30474
-2.759301164	-0.57676315	0.071304631	-4.80748465	-5.44111
-2.40776388	0.661311301	-0.347319142	-4.59963732	-4.26782
-1.973821873	1.00022721	-0.875163463	-3.50483123	-3.56773
-2.028827694	-0.117273951	1.145002067	-3.20237619	-3.49407
-1.31217344	-0.393070688	0.531413542	-4.05869094	-2.11318
-2.050418102	-0.574620534	-1.839238689	-4.99869491	0.42358
-2.149503437	0.552186689	1.9427727	-5.46913081	1.18229
-0.600878006	3.313080802	0.435374097	-3.95660858	2.69597
-1.791012772	0.71316805	-0.060966689	-1.88896663	2.93346
-1.223154676	-1.714249538	-1.206840338	-1.69015229	3.98114
-0.750703183	0.053852047	0.307310426	-2.62897556	4.16497
-0.665588738	0.877729407	-0.211967954	-2.97918635	3.22152
-1.510718064	-0.168965307	-0.314338525	-1.89080438	1.65643
-2.500430624	-1.678105738	0.424700927	-2.18891277	1.19265
-2.000114518	-1.887675658	1.863744016	-4.04594726	1.25905
-1.890848537	-0.362675069	0.329080645	-4.39675726	1.85772
-0.788134658	-1.478298796	0.57618471	-3.91771406	2.05468
-1.635580813	-0.006809439	-0.45018937	-1.41084374	1.42144
-2.124651365	1.798878813	-0.660782585	-1.92909513	0.29972
-2.648985436	2.105561456	0.273985505	-3.26038793	-0.52125
-1.976968622	-0.583513432	-1.480498155	-1.08181308	-0.88970
-2.090618818	-1.335017778	-0.911379768	-2.98107835	0.03802
0.112475529	1.034824964	0.066552524	-3.56464631	1.76972
0.303924841	-0.314666358	-1.755538785	-0.40098907	2.24818
-0.74950624	-0.699501433	-1.267935516	-0.07341973	2.06256
-0.010534004	0.410726372	1.04605074	0.43461342	1.20871
-0.276223107	-0.877320058	-0.962859252	1.25907615	1.31742
0.266052127	-2.264824419	1.074002781	1.65932176	1.94359
-1.347264166	0.016358373	-1.541369114	3.71558007	3.77404
0.08277666	0.490346517	0.686927237	2.58471994	4.34852
-0.155367037	0.467806745	0.539857989	1.65658989	4.34666
0.271431438	0.530998899	-0.93948317	0.70895828	3.99306
0.486570611	-0.638225551	-0.350834477	-0.16279553	4.44922
-0.018412044	1.307911168	0.36631482	2.07573021	4.46199
1.43955607	-1.570733795	2.507010582	1.6622616	5.55827
-0.233737617	-1.244250868	1.51242285	-0.29108664	5.01212
1.520262606	2.124942302	-0.605055696	-0.69101042	4.96489
0.627689869	-0.248595267	-0.154815637	-1.07302907	4.88140
0.047878519	0.769745234	1.894672037	-0.56627139	5.02813
0.10706641	-1.615699592	-0.563635693	0.96148863	4.99925
-0.397315807	-1.819853339	0.453948512	2.01148227	5.01762
1.704892215	1.083791836	-0.074211609	-0.13512102	5.51447
0.465487944	-1.719012853	-0.167000491	-2.86962005	6.06903
2.042380615	-2.269586565	0.353459579	-4.38698198	6.51390
1.480709506	1.021133549	-1.361104452	-5.86108427	7.55955
0.772914577	0.213532698	-0.437901823	-5.01808232	6.86064
-0.055586708	0.532329058	-0.021582845	-3.23930431	6.06809
-1.639885501	1.201213919	0.408717685	-3.38342659	4.02615
-1.033487409	-0.473275473	1.349051947	-5.22902607	2.33404
-0.255907854	-0.352551379	1.099432636	-5.14847355	1.35419
0.251235998	-0.160209425	0.978408425	-5.05986846	0.24152
0.1653841	-1.070216045	-1.378834058	-6.8017061	-1.37573
1.057637261	1.214344932	1.226399093	-6.05722425	-2.78242
-0.454291821	2.008887463	0.411264097	-4.38104724	-3.73199
0.849785142	1.516474146	1.336290587	-3.32862085	-3.11239
1.322182839	0.193810524	0.313262675	-3.45178509	-2.63767
1.919633263	0.030087018	0.639287694	-3.33129726	-3.01893
1.118617743	-0.219492534	-1.523412297	-2.70386877	-0.38556
2.491229413	0.593628724	0.298347794	-2.59499273	-0.71692
1.90877169	1.975683278	-0.015204346	-1.85517726	1.81239
2.779572092	1.840044069	1.866277851	-1.11780614	2.59813
1.878437806	0.826088178	-0.787005269	-0.98634149	5.08302
3.020568397	1.154386669	-0.152734166	0.81633664	5.87488
3.011523199	0.137355135	-0.724322567	2.8122666	5.47531
1.601190921	0.555930354	-0.378554138	3.25522128	6.49957
-0.848232836	2.363097778	0.242443868	4.00862915	7.07870
0.339063788	-1.102614242	0.141200887	4.90903523	7.08073
0.003376546	-0.52630515	0.399914513	3.78534823	7.30311
-0.553538751	0.571476439	-1.096219709	2.91837719	7.18722
0.138443126	-0.014033547	1.386908518	2.16590714	5.24346
-0.302050431	-0.674346524	-0.57223936	1.20005973	5.03392
0.264648261	-0.598974583	-1.502781387	1.75432643	4.45436
-0.014806926	0.777927166	1.410464079	3.3736453	4.56990
-1.112183435	2.453335859	0.439596192	1.65041731	5.19494
-1.211023347	1.380494196	-0.910362325	-1.11594723	4.81154
-0.722633293	0.670531832	-1.113707937	0.43161985	6.07891
-0.710366587	-2.024524055	0.068162483	1.75331476	5.16731
-1.514835476	-1.933588934	-0.136231771	3.04491681	4.69110
0.247665152	3.628160605	-0.18441262	3.54545187	4.75111
-0.058678166	1.007682711	0.257887023	2.9601002	3.91940
-0.98037494	-2.253811202	-0.749179289	3.82473195	2.62527
-0.762051166	0.250754548	-0.94954806	4.39658036	1.12841
1.679397251	1.950368412	0.214803946	4.112345	1.40352
-0.363342505	-1.027817223	-0.247624021	2.18389336	-0.32386
0.825776004	-0.768785717	0.8286624	-0.20598931	-0.48658
-1.688402731	0.204777224	1.506219069	-0.19652592	-0.77189
0.068224743	0.757413034	0.759027812	0.23248015	0.29167
-0.743433467	-0.614548977	-1.344481668	0.44332261	-1.24921
1.005462291	-2.209029474	1.29406714	0.64177099	-2.73113
1.501440397	0.61638367	-0.517507237	-0.12318852	-4.13461
-0.288911281	0.698346197	0.638961415	-0.44165358	-5.54837
-0.908833365	1.804621107	0.956072485	0.50913083	-6.28714
-0.478305963	0.359765536	-0.108571971	1.51097856	-6.21044
0.068832971	0.529453673	-1.650720274	1.19842986	-6.19846
-0.711744914	0.360897477	-1.167419962	0.71900377	-5.94785
0.842407953	0.332383555	0.635412738	0.69651717	-5.88726
-0.217372155	1.104660134	-0.48286799	1.68259033	-4.36993
-1.386719482	-0.244161609	1.078350491	3.0395669	-4.35513
-0.380216467	0.642768178	-1.137384489	2.4577471	-3.25708
-1.102470918	1.47554411	0.789896787	2.10300191	-1.96410
0.220655681	-0.384074302	-0.290697714	1.92264662	-2.29593
-0.71608842	-0.030600312	-0.786598478	2.10357777	-0.94133
-1.371455937	0.233685184	-0.15876323	3.05726281	-0.54292
1.840049854	-1.597545927	1.478179608	3.39067922	-1.09104
0.700929619	-2.002476978	-0.359338855	3.55256528	-0.48356
-1.242566446	0.920178113	1.429422333	3.85541736	-1.59403
-0.285461103	0.813451564	0.978318995	3.95954332	-1.47661
-1.256768116	-0.932788069	-1.484931929	2.75424455	-2.02679
-1.473690472	-1.231132337	-0.703378716	1.1344409	-1.24242
0.315997542	0.424009075	-0.219469293	-0.6063047	-0.29121
